Integrator Name,Logo,Location,Website,Categories,Supported Protocols,Industries Served,Certification Level,AI_Industries_Gen,Category_Audit,Categories + Category_Audit Combined,Slug,AI_Description,Top 100 Integrator
Aspect Engineering Group,,"Bakersfield, CA, United States",http://aspecteg.com/,"Systems Integration,HMI Design,Migration & Upgrades,PLC Programming,Data Visualization / Dashboards,SCADA Security","OPC UA,Modbus TCP,MQTT","Manufacturing,Water/Wastewater,Energy & Utilities,Food & Beverage",Gold Integrator,"Manufacturing,Water/Wastewater,Energy & Utilities,Food & Beverage","Systems Integration,HMI Design,Migration & Upgrades,PLC Programming,Data Visualization / Dashboards,SCADA Security","Systems Integration, HMI Design, Migration & Upgrades, PLC Programming, Data Visualization / Dashboards, SCADA Security, Systems Integration, HMI Design, Migration & Upgrades, PLC Programming, Data Visualization / Dashboards, SCADA Security",,"Aspect Engineering Group is a Bakersfield, California-based integrator specializing in oil and gas and municipal water treatment industries. They provide control systems engineering and database integration services, with a focus on delivering end-to-end automation and integration consulting.",Top 100
KAD CONTROL INC.,,"Fresno, CA, United States",http://kadcontrol.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET","Water/Wastewater,Energy & Utilities,Manufacturing,General Automation",Gold Integrator,"Water/Wastewater,Energy & Utilities,Manufacturing,General Automation",Systems Integration,"Systems Integration, Systems Integration",,"KAD Control Inc. is a Fresno, California-based integrator specializing in industrial automation and manufacturing systems. They provide turnkey SCADA integration and equipment data solutions, with a focus on open protocol connectivity across diverse plant equipment.",
Avadine,,"Bakersfield, CA, United States",https://www.avadine.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,Sparkplug B,Ethernet/IP,PROFINET,Siemens S7","Manufacturing,General Automation,Energy & Utilities,Water/Wastewater",Gold Integrator,"Manufacturing,General Automation,Energy & Utilities,Water/Wastewater",Systems Integration,"Systems Integration, Systems Integration",,"Avadine is a Houston, Texas-based integrator specializing in oil and gas and water management industries. They provide SCADA solutions and software consulting, with a focus on delivering Ignition-native platforms for real-time monitoring and control.",
Agilitech Group,,"Bakersfield, CA, United States",https://www.agilitechgroup.com/ies-is-now-agilitech/,"Cloud / IIoT,Systems Integration","OPC UA,Modbus TCP,MQTT","Food & Beverage,Life Sciences,Water/Wastewater,Manufacturing",Gold Integrator,"Food & Beverage,Life Sciences,Water/Wastewater,Manufacturing",Systems Integration,"Cloud / IIoT, Systems Integration, Systems Integration",,"Agilitech Group is a Bakersfield, California-based integrator specializing in the energy and food & beverage industries. They provide engineering and automation solutions, with a focus on integrated and agile project delivery.",
Brown and Caldwell,,"Seattle, WA, United States",http://www.brownandcaldwell.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,DNP3","Water/Wastewater,Government,Energy & Utilities",Gold Integrator,"Water/Wastewater,Government,Energy & Utilities",Systems Integration,"Systems Integration, Systems Integration",,"Brown and Caldwell is a Walnut Creek, California-based integrator specializing in water and environmental services. They provide engineering consulting and construction management, with a focus on integrated solutions for water, wastewater, and environmental infrastructure.",
Northern Digital Inc,,"Bakersfield, CA, United States",http://www.ndi.us/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Life Sciences,Manufacturing,General Automation",Gold Integrator,"Life Sciences,Manufacturing,General Automation",Systems Integration,"Systems Integration, Systems Integration",,"Northern Digital Inc is a Bakersfield, California-based integrator specializing in industrial automation and control systems. They provide SCADA system integration and control panel design, with a focus on delivering comprehensive instrumentation and automation solutions.",
JTI Electric and Instrumentation,,"Bakersfield, California",http://www.jtielectric.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Water/Wastewater,Oil & Gas,Energy & Utilities,Manufacturing",Gold Integrator,"Water/Wastewater,Oil & Gas,Energy & Utilities,Manufacturing",Systems Integration,"Systems Integration, Systems Integration",,"JTI Industrial Services is a Bakersfield, California-based integrator specializing in industrial manufacturing and food & beverage sectors. They provide electrical construction and automation & controls services, with a focus on delivering custom-engineered solutions for complex facility operations.",
Performance Automation Company,,"Madera, CA, United States",https://performanceautomationco.com/,"Systems Integration,PLC Programming","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET,DNP3,BACnet,Sparkplug B","Manufacturing,Food & Beverage,Water/Wastewater",Gold Integrator,"Manufacturing,Food & Beverage,Water/Wastewater","Systems Integration,PLC Programming","Systems Integration, PLC Programming, Systems Integration, PLC Programming",,"Performance Automation Company is a Clovis, California-based integrator specializing in industrial automation and manufacturing. They provide SCADA system integration and PLC solutions, with a focus on UL 508A-certified control panels and expertise as a certified Ignition and Rockwell Automation integrator.",
Kanoa Consulting,,"Tacoma, WA, United States",http://www.kanoacon.com%20https//kanoa.ai/,"Systems Integration,MES Systems,Cloud / IIoT,Data Visualization / Dashboards","OPC UA,Modbus TCP,MQTT,Sparkplug B","General Automation,Manufacturing,Data Centers",Gold Integrator,"General Automation,Manufacturing,Data Centers","MES Systems,Systems Integration,Cloud / IIoT,Data Visualization / Dashboards","Systems Integration, MES Systems, Cloud / IIoT, Data Visualization / Dashboards, MES Systems, Systems Integration, Cloud / IIoT, Data Visualization / Dashboards",,"Kanoa Consulting is a Seattle, Washington-based integrator specializing in manufacturing and industrial automation. They provide MES platform integration and data management solutions, with a focus on Ignition-powered, configurable smart manufacturing systems.",
OCD Automation,,"Estacada, OR, United States",http://www.ocdautomation.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT","General Automation,Manufacturing,Water/Wastewater,Food & Beverage",Gold Integrator,"General Automation,Manufacturing,Water/Wastewater,Food & Beverage",Systems Integration,"Systems Integration, Systems Integration",,"OCD Automation is a Portland, Oregon-based integrator specializing in semiconductor and water treatment industries. They provide PLC programming and SCADA/HMI programming, with a focus on custom controls design solutions.",
"Russell Automation, Inc.",,"Battleground, WA, United States",http://www.russellautomation.com/,"Systems Integration,PLC Programming","OPC UA,Modbus TCP,MQTT,Ethernet/IP,PROFINET,Siemens S7","Manufacturing,Food & Beverage,Automotive,General Automation",Gold Integrator,"Manufacturing,Food & Beverage,Automotive,General Automation","Systems Integration,PLC Programming","Systems Integration, PLC Programming, Systems Integration, PLC Programming",,"Russell Automation, Inc. is a Cincinnati, Ohio-based integrator specializing in the food and beverage and wastewater industries. They provide custom industrial control panels and process automation solutions, with a focus on fully integrated, specification-driven system design and support.",
Dowden Electrical Services,,"Taft, CA, United States",,Systems Integration,,,Gold Integrator,,,Systems Integration,,,
Hunt Integrative Solutions LLC,,"Merced, CA, United States",,Systems Integration,,,Gold Integrator,,,Systems Integration,,,
Aqua Sierra Controls,,"Auburn, California",http://www.aquasierra.com/,"Systems Integration,PLC Programming,Migration & Upgrades","OPC UA,Modbus TCP,MQTT,DNP3","Water/Wastewater,Energy & Utilities,Government",Gold Integrator,"Water/Wastewater,Energy & Utilities,Government","Systems Integration,PLC Programming,Migration & Upgrades","Systems Integration, PLC Programming, Migration & Upgrades, Systems Integration, PLC Programming, Migration & Upgrades",,"Aqua Sierra Controls is an Auburn, California-based integrator specializing in municipal and industrial process control automation. They provide electrical systems integration and custom control panel fabrication, with a focus on SCADA and PLC solutions for water and wastewater applications.",
"DWFritz Automation, Inc.",,"Wilsonville, OR, United States",http://www.dwfritz.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Manufacturing,Automotive,Life Sciences,General Automation",Gold Integrator,"Manufacturing,Automotive,Life Sciences,General Automation",Systems Integration,"Systems Integration, Systems Integration",,"DWFritz Automation, Inc. is a Wilsonville, Oregon-based integrator specializing in advanced manufacturing and automotive industries. They provide high-speed assembly automation and precision metrology solutions, with a focus on non-contact inspection capabilities.",
"Trimark Associates, Inc.",,"Folsom, CA, United States",http://www.trimarkassoc.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT,DNP3","Water/Wastewater,Government",Gold Integrator,"Water/Wastewater,Government",Systems Integration,"Systems Integration, Systems Integration",,"Trimark Associates, Inc. is a Folsom, California-based integrator specializing in utility-scale renewable energy and energy storage systems. They provide SCADA integration and revenue metering services, with a focus on enabling market participation and compliance for power generation resources nationwide.",
"Volo Technologies, Inc.",,"Folsom, CA, United States",http://www.voloca.com/,"Systems Integration,Migration & Upgrades","OPC UA,Modbus TCP,MQTT","Manufacturing,General Automation,Energy & Utilities,Water/Wastewater",Gold Integrator,"Manufacturing,General Automation,Energy & Utilities,Water/Wastewater","Migration & Upgrades,Systems Integration","Systems Integration, Migration & Upgrades, Migration & Upgrades, Systems Integration",,"Volo Technologies, Inc. is a Folsom, California-based integrator specializing in pharmaceutical and high technology manufacturing industries. They provide custom engineered automation solutions and platform migration services, with a focus on comprehensive design-engineer-commission-support capabilities.",Top 100
Electri-Tech Inc.,,"Scappoose, OR, United States",https://www.oregoneti.com/,"Systems Integration,PLC Programming,HMI Design","OPC UA,Modbus TCP,MQTT","Water/Wastewater,Energy & Utilities,Manufacturing,General Automation",Gold Integrator,"Water/Wastewater,Energy & Utilities,Manufacturing,General Automation","PLC Programming,HMI Design,Systems Integration","Systems Integration, PLC Programming, HMI Design, PLC Programming, HMI Design, Systems Integration",,"Electri-Tech Inc. is a Scappoose, Oregon-based integrator specializing in industrial and commercial electrical systems. They provide system integration and electrical maintenance services, with a focus on certified PLC programming and rapid response capabilities.",
CedarTech,,"Roseville, CA, United States",http://cedartech.com/,"Systems Integration,MES Systems,Data Visualization / Dashboards,Cloud / IIoT","OPC UA,Modbus TCP,MQTT","Manufacturing,Water/Wastewater,Energy & Utilities,Food & Beverage",Gold Integrator,"Manufacturing,Water/Wastewater,Energy & Utilities,Food & Beverage","Systems Integration,MES Systems,Data Visualization / Dashboards,Cloud / IIoT","Systems Integration, MES Systems, Data Visualization / Dashboards, Cloud / IIoT, Systems Integration, MES Systems, Data Visualization / Dashboards, Cloud / IIoT",,"CedarTech is a Roseville, California-based integrator specializing in manufacturing and industrial automation. They provide MES implementation and systems integration services, with a focus on customized applications for diverse manufacturing environments.",
